# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	3274408	509	-					lepA	50533586	FIU11_RS00415	1794		old_locus_tag=FIU11_00415
CDS	with_protein	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	3274408	509	-	WP_004729151.1	WP_004729151.1		translation elongation factor 4	lepA	50533586	FIU11_RS00415	1794	597	
gene	protein_coding	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	623	1093	-						50533587	FIU11_RS00420	471		old_locus_tag=FIU11_00420
CDS	with_protein	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	623	1093	-	WP_004729153.1	WP_004729153.1		SoxR reducing system RseC family protein		50533587	FIU11_RS00420	471	156	
gene	protein_coding	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	1090	2058	-					rseB	50533588	FIU11_RS00425	969		old_locus_tag=FIU11_00425
CDS	with_protein	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	1090	2058	-	WP_004729155.1	WP_004729155.1		sigma-E factor regulatory protein RseB	rseB	50533588	FIU11_RS00425	969	322	
gene	protein_coding	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	2055	2684	-						50533589	FIU11_RS00430	630		old_locus_tag=FIU11_00430
CDS	with_protein	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	2055	2684	-	WP_038152699.1	WP_038152699.1		RseA family anti-sigma factor		50533589	FIU11_RS00430	630	209	
gene	protein_coding	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	2715	3287	-					rpoE	50533590	FIU11_RS00435	573		old_locus_tag=FIU11_00435
CDS	with_protein	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	2715	3287	-	WP_004729159.1	WP_004729159.1		RNA polymerase sigma factor RpoE	rpoE	50533590	FIU11_RS00435	573	190	
gene	protein_coding	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	3748	5358	+					nadB	50533591	FIU11_RS00440	1611		old_locus_tag=FIU11_00440
CDS	with_protein	GCF_006364355.1	Primary Assembly	chromosome	1	NZ_CP040990.1	3748	5358	+	WP_004729161.1	WP_004729161.1		L-aspartate oxidase	nadB	50533591	FIU11_RS00440	1611	536	
