# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	3160644	1008	-						61411404	BTD91_RS00005	1056		old_locus_tag=BTD91_00005
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	3160644	1008	-	WP_230855773.1	WP_230855773.1		Ig-like domain-containing protein		61411404	BTD91_RS00005	1056	351	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	1454	2719	+						61411405	BTD91_RS00010	1266		old_locus_tag=BTD91_00010
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	1454	2719	+	WP_077680339.1	WP_077680339.1		TolC family outer membrane protein		61411405	BTD91_RS00010	1266	421	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	2719	3336	+						61411406	BTD91_RS00015	618		old_locus_tag=BTD91_00015
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	2719	3336	+	WP_077680333.1	WP_077680333.1		OmpA family protein		61411406	BTD91_RS00015	618	205	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	3541	3891	+						61411407	BTD91_RS00020	351		old_locus_tag=BTD91_00020
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	3541	3891	+	WP_017055260.1	WP_017055260.1		DUF2750 domain-containing protein		61411407	BTD91_RS00020	351	116	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	4055	6082	+						61411408	BTD91_RS00025	2028		old_locus_tag=BTD91_00025
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	4055	6082	+	WP_077680332.1	WP_077680332.1		diguanylate cyclase		61411408	BTD91_RS00025	2028	675	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	6042	6737	-					queC	61411409	BTD91_RS00030	696		old_locus_tag=BTD91_00030
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	6042	6737	-	WP_017055258.1	WP_017055258.1		7-cyano-7-deazaguanine synthase QueC	queC	61411409	BTD91_RS00030	696	231	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	6796	7446	-					queE	61411410	BTD91_RS00035	651		old_locus_tag=BTD91_00035
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	6796	7446	-	WP_077680331.1	WP_077680331.1		7-carboxy-7-deazaguanine synthase QueE	queE	61411410	BTD91_RS00035	651	216	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	7649	8458	+						61411411	BTD91_RS00040	810		old_locus_tag=BTD91_00040
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	7649	8458	+	WP_046222893.1	WP_046222893.1		Cof-type HAD-IIB family hydrolase		61411411	BTD91_RS00040	810	269	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	8564	9976	-						61411412	BTD91_RS00045	1413		old_locus_tag=BTD91_00045
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	8564	9976	-	WP_077680330.1	WP_077680330.1		phosphatase PAP2 family protein		61411412	BTD91_RS00045	1413	470	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	10049	10528	-						61411413	BTD91_RS00050	480		old_locus_tag=BTD91_00050
CDS	with_protein	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	10049	10528	-	WP_017055254.1	WP_017055254.1		GNAT family N-acetyltransferase		61411413	BTD91_RS00050	480	159	
gene	protein_coding	GCF_001995825.2	Primary Assembly	chromosome	1	NZ_CP065150.1	10691	12595	-						61411414	BTD91_RS00055	1905		old_locus_tag=BTD91_00055
