# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	244	1786	+						69718551	F0316_RS00010	1543		old_locus_tag=F0316_00010
rRNA		GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	244	1786	+				16S ribosomal RNA		69718551	F0316_RS00010	1543		
gene	tRNA	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	1849	1924	+						69718552	F0316_RS00015	76		old_locus_tag=F0316_00015
tRNA		GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	1849	1924	+				tRNA-Ala		69718552	F0316_RS00015	76		anticodon=GGC
gene	rRNA	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	2213	5099	+						69718553	F0316_RS00020	2887		old_locus_tag=F0316_00020
rRNA		GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	2213	5099	+				23S ribosomal RNA		69718553	F0316_RS00020	2887		
gene	rRNA	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	5229	5344	+					rrf	69718554	F0316_RS00025	116		old_locus_tag=F0316_00025
rRNA		GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	5229	5344	+				5S ribosomal RNA	rrf	69718554	F0316_RS00025	116		
gene	tRNA	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	5370	5446	+						69718555	F0316_RS00030	77		old_locus_tag=F0316_00030
tRNA		GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	5370	5446	+				tRNA-Asp		69718555	F0316_RS00030	77		anticodon=GTC
gene	tRNA	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	5476	5552	+						69718556	F0316_RS00035	77		old_locus_tag=F0316_00035
tRNA		GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	5476	5552	+				tRNA-Trp		69718556	F0316_RS00035	77		anticodon=CCA
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	5785	6165	+					crcB	69718557	F0316_RS00040	381		old_locus_tag=F0316_00040
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	5785	6165	+	WP_000006443.1	WP_000006443.1		fluoride efflux transporter CrcB	crcB	69718557	F0316_RS00040	381	126	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	6417	8354	+					thiC	69718558	F0316_RS00045	1938		old_locus_tag=F0316_00045
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	6417	8354	+	WP_000071103.1	WP_000071103.1		phosphomethylpyrimidine synthase ThiC	thiC	69718558	F0316_RS00045	1938	645	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	8358	9680	+						69718559	F0316_RS00050	1323		old_locus_tag=F0316_00050
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	8358	9680	+	WP_123163070.1	WP_123163070.1		thiamine phosphate synthase		69718559	F0316_RS00050	1323	440	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	9667	10443	+					thiF	69718560	F0316_RS00055	777		old_locus_tag=F0316_00055
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	9667	10443	+	WP_095471451.1	WP_095471451.1		thiazole biosynthesis adenylyltransferase ThiF	thiF	69718560	F0316_RS00055	777	258	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	10443	10643	+					thiS	69718561	F0316_RS00060	201		old_locus_tag=F0316_00060
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	10443	10643	+	WP_000158355.1	WP_000158355.1		sulfur carrier protein ThiS	thiS	69718561	F0316_RS00060	201	66	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	10649	11419	+						69718562	F0316_RS00065	771		old_locus_tag=F0316_00065
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	10649	11419	+	WP_000912211.1	WP_000912211.1		thiazole synthase		69718562	F0316_RS00065	771	256	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	11416	12528	+					thiH	69718563	F0316_RS00070	1113		old_locus_tag=F0316_00070
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	11416	12528	+	WP_149560132.1	WP_149560132.1		2-iminoacetate synthase ThiH	thiH	69718563	F0316_RS00070	1113	370	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	12753	14546	-						69718564	F0316_RS00075	1794		old_locus_tag=F0316_00075
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	12753	14546	-	WP_149560133.1	WP_149560133.1		aminopeptidase P family protein		69718564	F0316_RS00075	1794	597	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	14679	15620	-						69718565	F0316_RS00080	942		old_locus_tag=F0316_00080
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	14679	15620	-	WP_001165357.1	WP_001165357.1		LysR substrate-binding domain-containing protein		69718565	F0316_RS00080	942	313	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	15737	16927	+						69718566	F0316_RS00085	1191		old_locus_tag=F0316_00085
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	15737	16927	+	WP_001140085.1	WP_001140085.1		multidrug effflux MFS transporter		69718566	F0316_RS00085	1191	396	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	17031	17315	+						69718567	F0316_RS00090	285		old_locus_tag=F0316_00090
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	17031	17315	+	WP_000060371.1	WP_000060371.1		hypothetical protein		69718567	F0316_RS00090	285	94	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	17404	17865	-					asnC	69718568	F0316_RS00095	462		old_locus_tag=F0316_00095
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	17404	17865	-	WP_001195187.1	WP_001195187.1		transcriptional regulator AsnC	asnC	69718568	F0316_RS00095	462	153	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	18124	20247	+						69718569	F0316_RS00100	2124		old_locus_tag=F0316_00100
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	18124	20247	+	WP_233344003.1	WP_233344003.1		EAL domain-containing protein		69718569	F0316_RS00100	2124	707	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	20307	21092	+						69718570	F0316_RS00105	786		old_locus_tag=F0316_00105
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	20307	21092	+	WP_000908206.1	WP_000908206.1		class I SAM-dependent methyltransferase		69718570	F0316_RS00105	786	261	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	21216	21599	+						69718571	F0316_RS00110	384		old_locus_tag=F0316_00110
CDS	with_protein	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	21216	21599	+	WP_172625943.1	WP_172625943.1		hypothetical protein		69718571	F0316_RS00110	384	127	
gene	protein_coding	GCF_008369605.1	Primary Assembly	chromosome	1	NZ_CP043554.1	21695	22582	-						69718572	F0316_RS00115	888		old_locus_tag=F0316_00115
