# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	3119273	47	-					dnaN		GT360_RS00005	1101		old_locus_tag=GT360_00005
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	3119273	47	-	WP_164649531.1	WP_164649531.1		DNA polymerase III subunit beta	dnaN		GT360_RS00005	1101	366	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	102	1508	-					dnaA		GT360_RS00010	1407		old_locus_tag=GT360_00010
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	102	1508	-	WP_164646942.1	WP_164646942.1		chromosomal replication initiator protein DnaA	dnaA		GT360_RS00010	1407	468	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	1872	2618	+							GT360_RS00015	747		old_locus_tag=GT360_00015
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	1872	2618	+	WP_164646943.1	WP_164646943.1		amino acid ABC transporter substrate-binding protein			GT360_RS00015	747	248	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	2710	3381	+							GT360_RS00020	672		old_locus_tag=GT360_00020
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	2710	3381	+	WP_164646944.1	WP_164646944.1		amino acid ABC transporter permease			GT360_RS00020	672	223	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	3378	4112	+							GT360_RS00025	735		old_locus_tag=GT360_00025
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	3378	4112	+	WP_164646945.1	WP_164646945.1		amino acid ABC transporter ATP-binding protein			GT360_RS00025	735	244	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	4399	4533	+					rpmH		GT360_RS00030	135		old_locus_tag=GT360_00030
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	4399	4533	+	WP_006880025.1	WP_006880025.1		50S ribosomal protein L34	rpmH		GT360_RS00030	135	44	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	4579	4902	+					rnpA		GT360_RS00035	324		old_locus_tag=GT360_00035
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	4579	4902	+	WP_239502567.1	WP_239502567.1		ribonuclease P protein component	rnpA		GT360_RS00035	324	107	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	4869	5123	+					yidD		GT360_RS00040	255		old_locus_tag=GT360_00040
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	4869	5123	+	WP_164646947.1	WP_164646947.1		membrane protein insertion efficiency factor YidD	yidD		GT360_RS00040	255	84	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	5130	6743	+					yidC		GT360_RS00045	1614		old_locus_tag=GT360_00045
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	5130	6743	+	WP_164646948.1	WP_164646948.1		membrane protein insertase YidC	yidC		GT360_RS00045	1614	537	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	6870	8231	+					mnmE		GT360_RS00050	1362		old_locus_tag=GT360_00050
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	6870	8231	+	WP_164646949.1	WP_164646949.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE		GT360_RS00050	1362	453	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	8329	8766	+					mioC		GT360_RS00055	438		old_locus_tag=GT360_00055
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	8329	8766	+	WP_164646950.1	WP_164646950.1		FMN-binding protein MioC	mioC		GT360_RS00055	438	145	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	9242	11140	+					mnmG		GT360_RS00060	1899		old_locus_tag=GT360_00060
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	9242	11140	+	WP_164646952.1	WP_164646952.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG		GT360_RS00060	1899	632	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	11137	11769	+					rsmG		GT360_RS00065	633		old_locus_tag=GT360_00065
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	11137	11769	+	WP_164646953.1	WP_164646953.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		GT360_RS00065	633	210	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	11785	12558	+							GT360_RS00070	774		old_locus_tag=GT360_00070
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	11785	12558	+	WP_164646955.1	WP_164646955.1		ParA family protein			GT360_RS00070	774	257	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	12581	13495	+							GT360_RS00075	915		old_locus_tag=GT360_00075
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	12581	13495	+	WP_164646958.1	WP_164646958.1		ParB/RepB/Spo0J family partition protein			GT360_RS00075	915	304	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	13646	14050	+							GT360_RS00080	405		old_locus_tag=GT360_00080
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	13646	14050	+	WP_164646960.1	WP_164646960.1		ATP synthase subunit I			GT360_RS00080	405	134	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	14043	14867	+					atpB		GT360_RS00085	825		old_locus_tag=GT360_00085
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	14043	14867	+	WP_164646962.1	WP_164646962.1		F0F1 ATP synthase subunit A	atpB		GT360_RS00085	825	274	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	14912	15130	+					atpE		GT360_RS00090	219		old_locus_tag=GT360_00090
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	14912	15130	+	WP_164646964.1	WP_164646964.1		F0F1 ATP synthase subunit C	atpE		GT360_RS00090	219	72	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	15205	15675	+					atpF		GT360_RS00095	471		old_locus_tag=GT360_00095
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	15205	15675	+	WP_164646965.1	WP_164646965.1		F0F1 ATP synthase subunit B	atpF		GT360_RS00095	471	156	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	15691	16221	+							GT360_RS00100	531		old_locus_tag=GT360_00100
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	15691	16221	+	WP_164646967.1	WP_164646967.1		F0F1 ATP synthase subunit delta			GT360_RS00100	531	176	
gene	protein_coding	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	16238	17779	+					atpA		GT360_RS00105	1542		old_locus_tag=GT360_00105
CDS	with_protein	GCF_010587385.1	Primary Assembly	chromosome	1	NZ_CP047475.1	16238	17779	+	WP_164646968.1	WP_164646968.1		F0F1 ATP synthase subunit alpha	atpA		GT360_RS00105	1542	513	
